rank,lemma,romanization,pos,posExpanded,gloss,example,frequency,dispersion
207,ㄴ다고/는다고,ndago/neundago,e.,"ending, connective, final","CONNECTIVE, QUOT.",아버지께 내일 간다고 말씀 드려. — Tell my father that I’ll go tomorrow.,950,0.84
208,잡다,japda,v.,verb,"catch, hold",고양이가 정말 쥐를 잡았다니까요. — A cat really caught a mouse.,948,0.74
209,앉다,anda,v.,verb,sit,지훈은 조용히 자리에 가서 앉았다. — Jihun quietly went to the seat and sat down.,946,0.68
210,들다,deulda,v.,verb,"lift, raise",얼굴을 들지 못하겠어요. — I cannot lift my face.,945,0.8
211,두,du,p.sub.,subsidiary particle,"do, also (COLLOQUIAL)",나두 그렇게 생각하지. — I also think like that.,938,0.2
212,한테,hante,p.case,particle (case),"DATIVE, to","모르시겠으면 저한테 언제라도 말씀하세요. — If you are unsure, please talk to me at any time.",931,0.44
213,막,mak,adv.,adverb,"just at that time, now",우리도 이제 막 퇴근하려던 참이야. — We were just about to go home.,925,0.15
214,님,nim,s.,suffix,"Mr, Ms (HONORIFIC)","고객님, 제가 알려 드릴게요. — Dear customer, I will show you how.",906,0.56
215,손,son,n.,noun,hand,엄마와 아이가 손을 잡고 걸어갔습니다. — A mother and child walked holding hands.,900,0.81
216,단,dan,e.r.,relativizing ending,"RELATIVE, QUOT.",내가 뭘 잘못했단 말이오? — What did I do wrong?,894,0.29
217,안,an,n.,noun,inside,안에 들어가셔서 차나 한잔하십시다. — Let’s go inside and have a cup of tea.,891,0.85
218,버리다,beorida,aux.,auxiliary predicate,end up,그는 병으로 죽어 버렸다. — He ended up dying because of an illness.,891,0.85
219,무엇,mueot,pron.,pronoun,what,그 친구의 이름이 무엇입니까? — What is that friend’s name?,890,0.9
220,시간,sigan,n.,noun,time,시간은 돈보다도 귀한 것 같습니다. — Time seems to be more precious than money.,886,0.9
221,보이다,boida,v.,verb,"be shown, look",오늘 언니가 좀 이상해 보이는데. — My sister looks a bit strange today.,885,0.97
222,물,mul,n.,noun,water,"비가 안 와서 물이 모자른 가 봐. — Because it hasn’t rained, there doesn’t seem to be enough water.",879,0.74
223,정도,jeongdo,n.,noun,degree,한 시간 정도의 거리야. — It is about an hour away.,879,0.89
224,만,man,num.,number,ten thousand,우리 학교 학생이 약 만 명쯤일거예요. — Our school will have about ten thousand students.,876,0.78
225,한국,hanguk,n.,noun,Korea,한국에 처음 오셨어요? — Is this your first time in Korea?,875,0.84
226,자신,jasin,n.,noun,self,민준은 자신을 사랑하지 않아. — Minjun does not love himself.,873,0.99
227,천,cheon,num.,number,thousand,일 년에 학생들이 천 명 입학해요. — A thousand students enter the school each year.,873,0.76
228,가다,gada,aux.,auxiliary predicate,"become, reach",떠난 지 두 달이 되어 간다. — It’s been two months since I left.,865,0.86
229,이거,igeo,pron.,pronoun,this (thing),이거 누구 겁니까? — Who does this belong to?,864,0.15
230,음,eum,exc.,exclamative,"well, hmm","음, 뭘 시킬까? — Hmm, what shall we order?",859,0.06
231,응,eung,exc.,exclamative,yes (INFORMAL),"응, 갈게요. — Yes, I am going.",829,0.13
232,ㄴ지/은지,nji/eunji,e.,"ending, connective, final","CONNECTIVE, if, whether",지훈이는 그리스 수도가 어딘지 모르더라. — Jihun doesn’t know what the capital of Greece is.,826,0.89
233,그런데,geureonde,conj.,conjunction,by the way,"그런데 이 옷은 가격이 어떻게 되지요? — By the way, how much is this clothing?",826,0.79
234,어머니,eomeoni,n.,noun,mother,어머니는 제게 가장 소중한 분이시죠. — Mom is the person most precious to me.,813,0.79
235,사회,sahoe,n.,noun,"society, community",이 소설은 우리 사회를 잘 묘사한다. — This novel portrays our society well.,804,0.85
236,치다,chida,v.,verb,"hit, strike, smack",상대 선수가 어깨를 먼저 친 거야. — The other player hit the shoulder first.,801,0.65
237,만나다,mannada,v.,verb,meet,그는 사람들을 만나는 걸 피하고 있어. — He is avoiding meeting people.,799,0.84
238,어느,eoneu,adn.,adnominal,some; which,어느 학교에 다니세요? — Which school do you attend?,799,0.89
239,찾다,chatda,v.,verb,find; look for,길 잃은 아이가 부모를 애타게 찾고 있습니다. — A lost child is anxiously looking for its parents.,798,0.85
240,놓다,notda,v.,verb,"put on, put down, release",신문을 어디에 놓았지? — Where did I put the newspaper?,794,0.54
241,사다,sada,v.,verb,buy,남동생이 내게 저녁을 사더라구. — My younger brother bought me dinner.,794,0.62
242,서다,seoda,v.,verb,stand,거기 서서 기다리세요. — Stand there and wait.,788,0.81
243,길,gil,n.,noun,"way, path","이 길로 가면 우체국이 나와. — If you follow this path, the post office will appear.",779,0.91
244,그때,geuttae,n.,noun,then,그때 난 철이 없었거든. — I was immature then.,778,0.65
245,쓰다,sseuda,v.,verb,write,학생이 칠판에 뭔가 쓰고 있었어. — A student was writing something on the board.,778,0.77
246,몇,myeot,adn.,adnominal,how many,졸업식에 몇 명이나 올 것 같니? — How many people will come to commencement?,776,0.85
247,도록,dorok,e.,"ending, connective, final","CONNECTIVE, in order to, s. that …",약속에 늦지 않도록 일찍 출발하세요. — Please leave early s. that you are not late for the appointment.,772,0.97
248,네/으네,ne/eune,e.,"ending, connective, final","FINAL, EXCLAMATION",새벽부터 새가 지저귀고 있네. — Birds have been singing since early morning.,771,0.47
249,지나다,jinada,v.,verb,pass,"지하철역을 지나면 회사 건물이 나옵니다. — Passing the subway station, a company building appears.",770,0.9
250,네,ne,exc.,exclamative,yes,"네, 맞습니다. — Yes, it is right.",768,0.22
251,같이,gachi,adv.,adverb,together,따님과 같이 어디에 가십니까? — Where are you going together with your daughter?,768,0.75
252,가지,gaji,n.b.,noun (bound),"sort, kind",우린 여러 가지 음식을 주문했지. — We ordered various kinds of dishes.,766,0.84
253,얼굴,eolgul,n.,noun,"face, look",그는 기쁜 얼굴로 말을 꺼내기 시작했어. — He started to talk with a delightful look on his face.,765,0.82
254,아버지,abeoji,n.,noun,Father,아버지께서는 어렸을 때 시골에서 사셨거든. — Father lived in the countryside during his youth.,759,0.81
255,서울,seoul,n.,noun,Seoul,한국의 수도는 서울입니다. — The capital of South Korea is Seoul.,757,0.85
256,위,wi,n.,noun,top,"산 위에는 공기가 참 맑다. — On the top of the mountain, the air is really clean.",752,0.93
257,일본,ilbon,n.,noun,Japan,일본은 한국에 가까워. — Japan is close to Korea.,750,0.91
258,마음,maeum,n.,noun,mind,마음이 편하더라구. — I feel comfortable.,746,0.95
259,없이,eopsi,adv.,adverb,without …,"컴퓨터 없이 작업하는 것은 불가능해. — Without a computer, it is impossible to work.",744,0.94
260,하나,hana,n.,noun,one,민준이는 서연이에게 볼펜 하나를 빌렸습니다. — Minjun borrowed a pen from Seoyeon.,742,0.9
261,로서/으로서,roseo/euroseo,p.case,particle (case),"as, for","선생으로서 당신이 그렇게 말해서는 안 돼요. — As a teacher, you should not speak like that.",742,0.93
262,오늘,oneul,n.,noun,today,오늘은 휴일입니다. — Today is a holiday.,740,0.68
263,부르다,bureuda,v.,verb,call,나를 부르던 그 사람의 목소리가 너무 그립다. — I miss his voice calling me.,740,0.81
264,애,ae,n.,noun,"child, kid",애가 발음이 정확하다니까. — The child has clear pronunciation.,737,0.42
265,아주,aju,adv.,adverb,very,그 학생은 춤을 아주 잘 춰요. — The student dances very well.,737,0.54
266,나라,nara,n.,noun,"nation, country",그는 여러 나라를 여행했지. — He traveled through various countries.,736,0.88
267,는지,neunji,e.,"ending, connective, final","if, whether … or …",난 지민이에게 가족이 모두 떠나는지 물어보았다. — I asked Jimin if all the family would leave.,733,0.91
268,지금,jigeum,n.,noun,now,지금부터가 시작입니다. — Now is the beginning.,729,0.85
269,그녀,geunyeo,pron.,pronoun,she,그녀는 마음씨도 고왔다. — She also had a tender heart.,727,0.55
270,더니,deoni,e.,"ending, connective, final","CONNECTIVE, while, after","그렇게 말하더니 그는 내게 봉투를 주었다. — After saying so, he gave me an envelope.",726,0.63
271,미국,miguk,n.,noun,America,언제 미국으로 이민 오셨나요? — When did you immigrate to the USA?,724,0.83
272,루/으루,ru/euru,p.case,particle (case),to (COLLOQUIAL),지방으루 이사할 겁니다. — I’ll move to the region.,723,0.2
273,너무,neomu,adv.,adverb,too (much),찬물을 너무 많이 마시는 것은 안 좋아. — Drinking too much cold water is not good.,717,0.7
274,요,yo,p.sub.,subsidiary particle,QUESTION (POLITE),저기 학생요? — Are you talking about the student over there?,715,0.39
275,라고/이라고,rago/irago,p.case,particle (case),"CONNECTIVE, QUOT., COMMAND",그 유명한 스님은 나의 삶을 남과 비교하지 말라고 하셨어. — The famous monk always says not to compare my life to others.,707,0.89
276,사실,sasil,n.,noun,fact,이 작품은 역사적인 사실과는 관계가 없다. — This work is unrelated to the historical fact.,706,0.98
277,삼,sam,num.,number,three,삼 개월간 특별 훈련에 들어갈 거야. — I will start the special training in three months.,703,0.3
278,남자,namja,n.,noun,man,여자들과 남자들은 가끔 서로를 이해하지 못해. — Men and women sometimes don’t understand each other.,697,0.74
279,자리,jari,n.,noun,"place, position",자리가 너무 좁아. — The place is too narrow.,695,0.89
280,느냐,neunya,e.,"ending, connective, final","FINAL, QUESTION",이 늦은 시간에 어디로 가느냐? — Where are you going at this late hour?,694,0.56
281,방,bang,n.,noun,room,서연이는 지금 막 방에서 잠들었어요. — Seoyeon just fell asleep in her room.,686,0.73
282,시,s.,n.b.,noun (bound),COUNTER (hour),3시에 교수님이 강연을 시작하실 거야. — The professor will start the lecture at three o’clock.,685,0.84
283,짓다,jitda,v.,verb,"make, have",그는 얼굴에 한가득 미소를 짓고 있었다. — He had a big smile on his face.,682,0.82
284,쪽,jjok,n.b.,noun (bound),page; piece,그 이야기는 책 몇 쪽에 적혀 있습니까? — What page of the book is the story written on?,682,0.86
285,가지다,gajida,aux.,auxiliary predicate,do,도시락을 싸 가지고 소풍가자. — Let’s wrap up some lunch and go for a picnic.,681,0.14
286,점,jeom,n.,noun,point; aspect,그게 바로 제가 강조하고 싶은 점이죠. — That’s the very point that I’d like to highlight.,680,0.92
287,아니,ani,exc.,exclamative,"SURPRISE, oh, wow","아니! 벌써 다 먹었어? — Oh, have you already eaten up everything?",680,0.43
288,곳,got,n.,noun,place,어제 서류를 놓은 곳이 전혀 생각나지 않네. — I can’t think of the place where I put the documents yesterday.,679,0.99
289,몸,mom,n.,noun,body,"건강한 몸을 유지하려면 규칙적인 생활을 하십시오. — In order to maintain a healthy body, lead a well-regulated life.",675,0.9
290,통하다,tonghada,v.,verb,go through; circulate; connect; make sense,지훈이와 민서는 잘 통하는 데가 있어. — Jihun and Minseo share some sense of connection.,664,0.91
291,그거,geugeo,pron.,pronoun,"it, that thing",그거 좀 저에게 던져 주세요. — Please throw it to me.,664,0.12
292,모두,modu,adv.,adverb,all,우리 모두에게 이번 일의 책임이 있다. — We are all responsible for what happened.,662,0.97
293,후,hu,n.,noun,after,밥을 먹은 후에 커피를 마시는 게 어때요? — What about having coffee after we finish the meal?,660,0.97
294,들어오다,deureooda,v.,verb,enter,누군가 집에 들어왔어. — Someone entered the house.,657,0.7
295,묻다,mutda,v.,verb,"ask, inquire",행인에게 길을 물어 보았다. — I asked for directions from a pedestrian.,657,0.82
296,두다,duda,v.,verb,"put, position",이 상자는 어디에 둘까요? — Where do I put this box?,650,0.86
297,정부,jeongbu,n.,noun,government,정부는 여론을 잘 헤아려야 한다. — The government should be well aware of public opinion.,648,0.75
298,는가,neunga,e.,"ending, connective, final","FINAL, QUESTION",인간은 무엇을 위해 사는가? — What do people live for?,647,0.93
299,아들,adeul,n.,noun,son,어머니는 막내 아들을 특별히 아끼셨어. — Mother especially cared for her youngest son.,644,0.67
300,란/으란,ran/euran,e.r.,relativizing ending,"RELATIVE, COMMAND",저더러 경기를 포기하란 말씀을 하시는 겁니까? — Are you telling me to give up the game?,643,0.91
301,제,je,pron.,pronoun,my,제 가족 사진이에요. — It is my family photo.,642,0.38
302,동안,dongan,n.,noun,"during, while",지난 십 년 동안 한 번도 그를 만난 적이 없어. — I haven’t seen him once in the past ten years.,634,0.95
303,터,teo,n.b.,noun (bound),"place, space",빈 터에서 아이들이 축구를 하나 봐. — Children are playing soccer in the empty space.,633,0.69
304,그러니까,geureonikka,conj.,conjunction,"since, therefore","그러니까 그의 주장은 틀린 거야. — Therefore, his argument is wrong.",632,0.28
305,러/으러,reo/eureo,e.,"ending, connective, final","CONNECTIVE, PURPOSE",버스를 타러 정류장에 갔어. — I went to the bus stop to catch a bus.,630,0.56
306,거나,geona,e.,"ending, connective, final","CONNECTIVE, or",시간이 있으면 책을 읽거나 운동해라. — Read a book or exercise if you have time.,629,0.97
307,나/으나,na/euna,e.,"ending, connective, final","FINAL, QUESTION",현우가 집에 오려나? — Is Hyunwu coming home?,625,0.61
308,여러,yeoreo,adn.,adnominal,"many, several","짐을 나르기 위해서는 여러 사람이 필요하다구. — To carry the baggage, we will need several people.",622,0.87
309,분,bun,n.b.,noun (bound),"COUNTER time, amount",시간이 몇 분이나 걸릴까요? — How many minutes will it take?,622,0.46
310,보내다,bonaeda,v.,verb,send,내일 편지를 꼭 보내야겠어요. — I will make sure to send the letter tomorrow.,621,0.83
311,함께,hamkke,adv.,adverb,together,민서는 친구와 함께 왔다. — Minseo went together with her friend.,619,0.98
312,시작하다,sijakada,v.,verb,start,곧 영화가 시작할 거야. — Soon the movie will start.,616,0.98
313,친구,chingu,n.,noun,friend,그는 친구가 없어서 외로울 걸. — He might be lonely without friends.,616,0.75
314,바로,baro,adv.,adverb,right after; very,식사하고 바로 떠나는 건 좋지 않아요. — It’s not good to eat and then leave right after.,616,0.95
315,술,sul,n.,noun,"alcohol, drink","술을 너무 마셨더니 아무것도 생각이 나지 않네요. — Because I drank s. much, I can’t remember anything.",615,0.68
316,가장,gajang,adv.,adverb,"best, most",나는 그 작가를 가장 만나고 싶어. — I want to meet with that writer the most.,603,0.94
317,처음,cheoeum,n.,noun,first time,"처음 한국에 왔을 때는 조금 외로웠습니다. — When I came to Korea the first time, I felt lonely.",602,0.9
318,무녀,munyeo,n.,noun,"female shaman, medium",무녀의 사회적 신분은 낮았다. — The social status of a female shaman was low.,601,0.02
319,모든,modeun,adn.,adnominal,"every, all",서연이는 모든 일에 최선을 다하죠. — Seoyeon does her best for every job.,600,0.98
320,는데,neunde,e.,"ending, connective, final","FINAL, BACKGROUND","갑자기 비가 오는데. — It’s raining, but it’s not windy.",598,0.31
321,라도/이라도,rado/irado,p.sub.,subsidiary particle,even,"지금이라도 용서를 구하세요. — Even now, please ask for forgiveness.",596,0.9
322,이야기,iyagi,n.,noun,"talk, story",제 이야기 좀 들어보세요. — Please listen to my story.,593,0.91
323,선생님,seonsaengnim,n.,noun,teacher,선생님은 연구실에 안 계시군요. — The teacher is not at the office.,588,0.67
324,께,kke,p.case,particle (case),"DATIVE, to (HONORIFIC)",민서가 부모님께 편지를 드렸다. — Minseo sent a letter to her parents.,582,0.35
325,이름,ireum,n.,noun,name,이름이 뭐예요? — What is your name?,582,0.87
326,문,mun,n.,noun,door,"바람이 너무 불어서 문을 닫았습니다. — It was too windy, s. I closed the door.",578,0.73
327,밤,bam,n.,noun,night,밤에 잠을 충분히 주무셨어요? — Did you get enough sleep at night?,577,0.8
328,세,s.,adn.,adnominal,three,하루에 식사는 세 번 하셔야 해요. — You need to have three meals a day.,576,0.76
329,뿐,ppun,n.b.,noun (bound),only,어머니는 한숨만 쉴 뿐 말씀이 없으셨어. — Mom only sighed and didn’t say a word.,571,1.0
330,말다,malda,v.,verb,"do not … , stop ~ing",걱정을 말아요. — Stop worrying.,568,0.55
331,관계,gwangye,n.,noun,relation,그는 다른 동료들과의 관계가 좋지 않다. — He doesn’t have good relationships with other colleagues.,568,0.91
332,세계,segye,n.,noun,world,세계에서 가장 높은 빌딩은 어디에 있습니까? — Where is the tallest building in the world located?,567,0.91
333,머리,meori,n.,noun,head,그는 공에 머리를 맞았다구. — He was hit on the head by a ball.,566,0.78
334,이상,isang,n.,noun,"more than … , above","단체 입장은 스무 명 이상이어야 해. — For group entrance, there must be more than twenty people.",565,0.96
335,내리다,naerida,v.,verb,get off; put down; pour,우리는 지하철에서 서둘러 내렸지. — We got off the subway quickly.,563,0.89
336,당신,dangsin,pron.,pronoun,you,당신은 누구세요? — Who are you?,559,0.76
337,이번,ibeon,n.,noun,"this, this time","이번 선거에서는 어느 당이 승리하겠습니까? — In this election, which party will win?",558,0.82
338,타다,tada,v.,verb,"ride, get on, take","너무 늦어서 택시를 탔어. — Because it was too late, I took a taxi.",554,0.78
339,에다,eda,p.sub.,subsidiary particle,"on, on top of","시험에다 인터뷰도 있어서 바쁩니다. — On top of an exam, I am busy with an interview.",549,0.5
340,아직,ajik,adv.,adverb,still,민서는 아직 중학생이라구요. — Minseo is still a middle-school student.,548,0.94
341,경제,gyeongje,n.,noun,economy,경제 발전을 위해 모두가 노력합시다. — Let’s put some effort into developing the economy.,546,0.78
342,하고,hago,p.case,particle (case),"COMITATIVE, with",아이가 엄마하고 소풍을 나온 모양이네. — A child seems to be having a picnic with her mother.,546,0.42
343,인간,ingan,n.,noun,human,인간은 물과 공기 없이 살 수 없다. — Humans cannot live without water and air.,545,0.91
344,구,gu,n.,noun,"district, borough, county",우리 구에서는 주민에게 다양한 시설을 제공합니다. — Our district provides residents with various facilities.,543,0.35
345,산,san,n.,noun,mountain,산에서 야영을 하러 갑니다. — I am going to the mountain to camp outside.,542,0.7
346,학교,hakgyo,n.,noun,school,버스는 학교 가는 학생들로 꽉 찼다. — The bus was full of students going to school.,541,0.89
347,십,sip,num.,number,ten,민서는 십 분 늦게 나타났어. — Minseo appeared ten minutes late.,541,0.4
348,거,geo,n.b.,noun (bound),thing,그건 어머니가 주신 거야. — That is the thing my mother gave me.,540,0.19
349,그럼,geureom,conj.,conjunction,then; yes,"그럼, 저는 가 보겠습니다. — Then, I will go.",539,0.39
350,사이,sai,n.,noun,"gap, space; relation; time between",책장과 책상 사이에 뭐가 있어요? — What is in the space between the bookshelf and the desk?,537,0.99
351,줄,jul,n.b.,noun (bound),"fact, method",너는 타협할 줄을 모르는구나. — You do not know how to compromise.,534,0.73
352,생기다,saenggida,v.,verb,"be formed, happen; appear","이러다가 큰일 나게 생겼다구. — At this rate, it seems like it’s becoming a big problem.",534,0.8
353,자다,jada,v.,verb,sleep,"너무 피곤해서 자야겠다. — Because I am s. tired, I need to sleep.",532,0.5
354,보이다,boida,v.,verb,show,"안으로 들어갈 때 표를 보여 주세요. — When you enter, please show your ticket.",531,0.96
355,느끼다,neukkida,v.,verb,feel,영화를 보고 심한 공포를 느꼈어. — I felt deeply horrified after watching the movie.,528,0.97
356,세요/으세요,seyo/euseyo,e.,"ending, connective, final","FINAL (HONORIFIC, POLITE)",꼭 식사를 하고 난 후 약을 드세요. — Take the medicine after finishing a meal.,528,0.56
357,아/야,a/ya,p.case,particle (case),VOCATIVE,"민서야, 여기 와 봐! — Minseo, come here!",524,0.49
358,라구/으라구,ragu/euragu,e.,"ending, connective, final","CONNECTIVE, QUOT. (COLLOQUIAL)",아이들에게 떠들지 말라구 하세요. — Tell the children not to make noise.,518,0.29
359,정말,jeongmal,adv.,adverb,really,유학을 정말 가고 싶니? — Do you really want to study abroad?,517,0.62
360,뜻,tteut,n.,noun,meaning,이 단어가 한국말로 무슨 뜻이니? — What does this word mean in Korean?,516,0.86
361,딱,ttak,adv.,adverb,"suddenly, perfectly","그때 딱 선생님이 나타나셨다구. — At that moment, the teacher suddenly came in.",513,0.15
362,말씀,malsseum,n.,noun,"speak, talk (HONORIFIC)",먼저 말씀을 해 주시겠어요? — Could you speak first?,513,0.54
363,다니다,danida,v.,verb,go around; attend,여동생은 지금 고등학교에 다니고 있다. — The younger sister is now attending high school.,512,0.77
364,어렵다,eoryeopda,a.,adjective,"difficult, hard, tough",시험 문제가 조금 어려웠어. — The exam questions were a little difficult.,510,0.92
365,았었/었었,asseot/eosseot,s.,suffix,"PAST TENSE, RETROSPECT",너는 현지 음식을 먹었었니? — Have you had the local food?,510,0.8
366,떨어지다,tteoreojida,v.,verb,"fall, drop, drip; fail",아이가 자전거에서 떨어졌어요. — A child fell off a bicycle.,509,0.85
367,일어나다,ireonada,v.,verb,"get up, rise",저는 아침에 일찍 일어나요. — I wake up early in the morning.,508,0.91
368,자,ja,e.,"ending, connective, final","FINAL, PROPOSE",이제 일을 시작해 보자. — Now let’s start to work.,507,0.81
369,세상,sesang,n.,noun,world,세상에는 정말 다양한 사람들이 살고 있다. — There are many kinds of people in the world.,501,0.91
370,의하다,uihada,v.,verb,"be according to … , depending on …","소문에 의하면 두 사람이 싸웠어. — According to the rumor, the two people fought.",498,0.84
371,그러면,geureomyeon,conj.,conjunction,if so,"그러면 나중에 골치 아플 걸. — If so, that will be a headache later.",497,0.41
372,글,geul,n.,noun,writing,제가 글을 잘 쓰려면 어떻게 해야 합니까? — What should I do to write well?,496,0.77
373,밖,bak,n.,noun,outside,밖에서 아이들이 신나게 뛰어노는데요. — There are children cheerfully running around outside.,495,0.89
374,교육,gyoyuk,n.,noun,education,부모들이 가장 힘들어 하는 게 자녀 교육인 듯해. — The most difficult thing for parents seems to be educating their children.,491,0.86
375,맞다,matda,v.,verb,"right, correct",당신 예측이 맞았군요. — Your prediction was right.,491,0.6
376,옛날,yennal,n.,noun,"old days, past","옛날에는 이런 일은 상상도 못했지. — In the old days, this sort of thing was not even imaginable.",489,0.44
377,열다,yeolda,v.,verb,open,창문을 열고 신선한 공기를 마셨지. — I opened the window and breathed in fresh air.,489,0.87
378,밖에,bakke,p.sub.,subsidiary particle,only,주차장에 내 차밖에 없더군. — My car is the only one in the parking lot.,487,0.95
379,모습,moseup,n.,noun,figure,그녀의 모습이 아직도 생생하게 기억나네. — I still clearly remember her figure.,483,0.99
380,적,jeok,n.b.,noun (bound),"time when, experience",학교 다닐 적에 우리는 친한 친구였는데. — We were close friends when attending school.,483,0.75
381,요,yo,e.,"ending, connective, final","CONNECTIVE, and",그것은 진실이 아니요 거짓입니다. — It is not truth but a lie.,480,0.58
382,밥,bap,n.,noun,"(cooked) rice, meal",밥 짓는 솜씨가 뛰어나구나. — You are great at cooking rice.,480,0.51
383,내다,naeda,aux.,auxiliary predicate,"make, accomplish",화가는 걸작을 완성해 냈다. — The painter accomplished a masterpiece.,477,0.99
384,구서,guseo,e.,"ending, connective, final","CONNECTIVE, after, and","그렇게 하구서 그는 떠났어. — After making it happen, he left.",477,0.04
385,대통령,daetongnyeong,n.,noun,president,대통령은 국민들의 선거를 통해 선택됩니다. — The president is chosen through public elections.,477,0.66
386,다르다,dareuda,a.,adjective,different,그들 각자의 생각이 매우 다르군. — Their respective ideas are very different.,476,0.93
387,웃다,utda,v.,verb,laugh at; smile,아기가 웃을 때 너무 예뻐요. — The baby is s. pretty when she smiles.,475,0.74
388,에,e,exc.,exclamative,"an exclamation of surprise, inquiry, refusal or hesitation","남자는 ‘에?’ 라고 했다. — The man uttered, ‘Huh?’",473,0.14
389,입다,ipda,v.,verb,"wear, put on",민서는 새 코트를 입어 봤다. — Minseo tried wearing the new coat.,473,0.77
390,살,sal,n.b.,noun (bound),COUNTER (age),두 살된 조카가 너무 보고 싶단다. — I miss my two-year-old niece s. much.,472,0.59
391,불,bul,n.,noun,fire; light,"불이 나서 소방차가 왔어. — Because there was a fire, a fire engine came.",470,0.72
392,지역,jiyeok,n.,noun,"region, area",남쪽 지역은 여름에 습해. — The southern area is humid in the summer.,470,0.81
393,엄마,eomma,n.,noun,Mom,엄마는 항상 아침마다 맛있는 식사를 차려 주신다. — Mom makes a delicious breakfast every morning.,467,0.72
394,넣다,neotda,v.,verb,"put in, insert",커피에 설탕을 넣으세요? — Do you put sugar in your coffee?,467,0.82
395,중국,jungguk,n.,noun,China,중국의 수도는 베이징이라구요. — The capital of China is Beijing.,467,0.86
396,남다,namda,v.,verb,"others, strangers",형제도 남처럼 느껴질 때가 있지. — Even brothers and sisters can feel like strangers sometimes.,465,0.91
397,남,nam,n.,noun,"others, strangers",남의 일에는 관심을 두지 말자. — Let’s not concern ourselves with others’ business.,464,0.79
398,북한,bukhan,n.,noun,North Korea,북한도 축구 대회에 참가한다. — North Korea also participates in the soccer tournament.,462,0.68
399,입,ip,n.,noun,mouth,민서는 입에 뭔가 물고 있어. — Minseo has something in her mouth.,456,0.85
400,딸,ttal,n.,noun,daughter,난 대학생인 딸도 있어. — I have a daughter who is a college student.,455,0.61
401,이러하다,ireohada,a.,adjective,"be so, be like this",그의 사정이 이러하다. — His situation is like this.,454,0.77
402,둘,dul,num.,number,two,하나보다 둘이 같이 하면 좋잖니? — It is better for two to work than one.,454,0.6
403,나타나다,natanada,v.,verb,appear,현우는 약속 장소에 늦게 나타났어. — Hyunwu showed up late at the meeting place.,454,0.98
404,내용,naeyong,n.,noun,content,그 책의 내용은 무겁고 지루해. — The content of the book is dark and boring.,451,0.9
405,려고/으려고,ryeogo/euryeogo,e.,"ending, connective, final","CONNECTIVE, PURPOSE","미국에 가려고 비행기표를 끊었어요. — In order to get to the USA, I bought an airplane ticket.",450,0.94
406,책,chaek,n.,noun,book,지하철에서 책을 읽는 사람이 별로 없지. — There are few people who read books in the subway.,447,0.94
407,로부터/으로부터,robuteo/eurobuteo,p.case,particle (case),ORIGIN: from,지금으로부터 수십년 전의 사건이다. — That’s the case that happened several decades ago.,447,0.96
408,시대,sidae,n.,noun,"period, time, era, age",새로운 시대에 맞는 지도자가 필요해. — A new leader who fits the new era is needed.,446,0.89
409,얻다,eotda,v.,verb,"acquire, gain","사업 실패로 귀한 인생의 교훈을 얻었다니까. — When my business failed, I gained an important life lesson.",446,0.91
410,열,yeol,num.,number,ten,열 명의 친구들이 모임에 왔어. — Ten friends came to the meeting.,444,0.52
411,시,s.,n.,noun,"poem, poetry",아름다운 시는 사람에게 위로를 준다. — Beautiful poems give some comfort to humans.,442,0.82
412,해,hae,n.,noun,"sun, sunlight, day","여름이 되니까 해가 길어졌어. — Now that it’s summer, the days are longer.",439,0.7
413,생활,saenghwal,n.,noun,"living, life",나는 평범한 생활을 즐기고 있었다. — I was enjoying an ordinary life.,435,0.95
414,니,ni,pron.,pronoun,you (COLLOQUIAL),니가 먼저 연락해라. — You contact me first.,434,0.3
415,문화,munhwa,n.,noun,culture,동양과 서양의 문화는 상당히 다르지요. — The cultures in the East and the West are fairly distinct.,432,0.84
416,나무,namu,n.,noun,tree,"봄이 되니 나무에 꽃이 피는구나. — Now that spring has come, flowers are blooming on the trees.",432,0.7
417,학생,haksaeng,n.,noun,student,학생이 손을 들고 질문을 했어. — A student raised a hand and asked a question.,428,0.92
418,기자,gija,n.,noun,"reporter, journalist",신문 기자들이 밖에서 대기하고 있다구. — News reporters are waiting outside.,427,0.65
419,억,eok,num.,number,COUNTER (one hundred million),그는 가방 수출로 오 억이나 벌었거든. — He earned five hundred million won from exporting bags.,427,0.63
420,방법,bangbeop,n.,noun,"method, way",시간을 효율적으로 잘 쓰는 좋은 방법이 없을까? — Isn’t there a better way to use time more efficiently?,427,0.92
421,국민,gungmin,n.,noun,"citizens, people",경제는 국민의 생활에 직접 영향을 끼칩니다. — The economy has an immediate impact on people’s lives.,426,0.81
422,모양,moyang,n.,noun,"shape, appearance",핸드폰 모양이 날마다 바뀌네. — The shape of cellphones changes every day.,426,0.86
423,중요하다,jungyohada,a.,adjective,important,"중요한 회의 때문에 일찍 자리를 떠야 합니다. — Because of an important meeting, I have to leave early.",426,0.88
424,밝히다,balkida,v.,verb,lighten (up); expire,환한 빛이 어두운 방을 밝히고 있다. — A bright light was lightening up the dark room.,425,0.73
425,옷,ot,n.,noun,"clothes, garment, apparel",난 헌 옷을 모아서 기부해. — I collect old clothes to donate them.,421,0.71
426,야,ya,exc.,exclamative,hey,"야, 너 어디 가니? — Hey, where are you going?",421,0.23
