rank,lemma,romanization,pos,posExpanded,gloss,example,frequency,dispersion
588,아다/어다,ada/eoda,e.,"ending, connective, final","CONNECTIVE, while",그는 뛰어가다가 넘어졌지 뭐야. — He fell while running.,296,0.58
589,어리다,eorida,a.,adjective,"young, immature","걔는 아직 어리잖니? — He is still young, isn’t he?",296,0.84
590,려는/으려는,ryeoneun/euryeoneun,e.r.,relativizing ending,"RELATIVE, INTENTION",해외여행을 가려는 사람들이 너무나 많다. — There are s. many people who want to go on a trip abroad.,295,0.99
591,고서,goseo,e.,"ending, connective, final","CONNECTIVE, and then","그렇게 말하고서 지훈은 바닥에 누워 버렸어. — After saying that, Jihun lay down on his back.",295,0.59
592,그리다다,geurida,v.,verb,"draw, describe",아이가 벽에 그림을 그리고 있네. — A child is drawing a picture on the wall.,295,0.87
593,길다,gilda,a.,adjective,long,민지는 머리가 길다. — Minseo has long hair.,294,0.89
594,여성,yeoseong,n.,noun,women,여성들의 사회적 지위가 더욱 높아질 것이다. — Women’s social status will rise.,293,0.86
595,가슴,gaseum,n.,noun,"mind; chest, breast; heart","그 슬픈 광경에 가슴이 찢어지더군. — At that sad scene, my mind was split.",292,0.89
596,면,myeon,n.,noun,"face, side; aspect",건물 반대쪽 면에서 바라본 풍경입니다. — It is the view from the opposite side of the building.,292,0.86
597,아래,arae,n.,noun,"below, under",언덕 아래 호수가 하나 있거든. — There is a lake below the hill.,291,0.94
598,노인,noin,n.,noun,old (elderly) person,노인의 수가 급격히 늘어나고 있지. — The number of elderly people is increasing rapidly.,291,0.78
599,굉장히,goengjanghi,adv.,adverb,"extremely, greatly",제 남동생은 굉장히 둔감한 편이지요. — My younger brother is extremely insensitive.,290,0.12
600,대다,daeda,v.,verb,put; touch; keep in supply,차를 주자장에 대고 나왔지. — I came out after putting my car in the garage.,290,0.71
601,나누다,nanuda,v.,verb,"share, divide",슬픔은 나누면 반이 된다고 하잖아요. — They say that sadness is halved when it is shared.,289,0.95
602,더욱,deouk,adv.,adverb,more,"시간이 갈수록 비가 더욱 세차게 내린다. — As time goes by, it is pouring even more.",289,0.98
603,아내,anae,n.,noun,wife,제 아내는 교사입니다. — My wife is a teacher.,288,0.92
604,문학,munhak,n.,noun,literature,문학을 전공으로 택하고 싶어요. — I would like to have literature as my major.,288,0.81
605,군,gun,n.,noun,military,아들이 곧 군에 입대한다. — My son joins the military soon.,286,0.95
606,낳다,natda,v.,verb,"give birth to, bear",어머니는 저를 아침에 낳으셨어요. — My mother gave birth to me in the morning.,286,0.72
607,꿈,kkum,n.,noun,dream,꿈을 이루시길 바랍니다. — I hope you make your dreams come true.,285,0.87
608,기술,gisul,n.,noun,"technology, skill","기술의 발달로 인해 우리의 삶이 나아졌지. — Because of developments in technology, our lives have gotten better.",285,0.84
609,두다,duda,aux.,auxiliary predicate,"finish, do",식당을 예약해 두었어. — I finished reserving a restaurant.,284,0.94
610,삶,sam,n.,noun,life,우리는 새로운 삶을 시작했다. — We started a new life.,284,0.94
611,듯하다,deutada,aux.,auxiliary predicate,seem to,"오늘 비가 아주 많이 올 듯하다. — Today, it seems to be raining a lot.",283,0.94
612,공부,gongbu,n.,noun,study,공부 열심히 해라! — Study hard!,282,0.68
613,자네,jane,pron.,pronoun,you,자네는 어디 살아? — Where do you live?,282,0.61
614,목,mok,n.,noun,throat,"감기 때문에 목이 아파요. — Because of my cold, my throat hurts.",280,0.73
615,그만,geuman,adv.,adverb,"no longer, stopping; by mistake",피아노는 그만 쳐라. — Stop playing the piano.,279,0.62
616,젊다,jeomda,a.,adjective,be young,부모님께서 아직 젊으시네. — Your parents are still young.,278,0.88
617,그저,geujeo,adv.,adverb,"just, only",저는 그저 제 할 일만 한 걸요. — I just did the work I need to do.,276,0.61
618,걸다,geolda,v.,verb,hang; deposit; risk,옷걸이에 셔츠를 걸어 놓었거든요. — I hung the shirt on the hanger.,276,0.81
619,바라보다,baraboda,v.,verb,"see, look at",아버지는 하늘을 바라보고 계셨어. — Dad was looking at the sky.,276,0.85
620,바람,baram,n.,noun,wind,비가 오고 바람이 불기 시작했습니다. — It started to rain and get windy.,276,0.91
621,자체,jache,n.,noun,itself,계획 자체는 좋은데. — The plan itself is good.,275,0.91
622,이루어지다,irueojida,v.,verb,"accomplish, come true",민서의 꿈이 마침내 이루어졌다. — Minseo’s dream came true in the end.,274,0.91
623,달다,dalda,aux.,auxiliary predicate,give,그는 내게 도와 달라고 했어. — He asked me to help.,274,0.72
624,관하다,gwanhada,v.,verb,"be related to, about","신문에 너에 관한 기사가 났더구나. — In the newspaper, there was an article about you.",274,0.92
625,오빠,oppa,n.,noun,elder brother (of a female),오빠가 내일 결혼해요. — My older brother will get married tomorrow.,274,0.47
626,므로/으므로,meuro/eumeuro,e.,"ending, connective, final","CONNECTIVE, therefore, so","전제가 틀렸으므로 결론도 옳지 못한 거야. — The premise is wrong, s. the conclusion is not right, either.",274,0.9
627,민족,minjok,n.,noun,"people, ethnicity",한국인은 강한 민족이다. — The Koreans are a strong people.,272,0.87
628,걷다,geotda,v.,verb,walk,지민이는 혼자서 걷고 있었다. — Jimin was walking alone.,271,0.84
629,병,byeong,n.,noun,"disease, illness, disorder",대부분의 아이들이 병에 걸렸어. — Most of the children got the disease.,270,0.79
630,데리다,derida,v.,verb,"take, bring",민서는 집에 누군가를 데리고 왔어. — Minseo brought someone home.,270,0.61
631,좋아하다,joahada,v.,verb,like,나는 흰색을 좋아합니다. — I like the color white.,270,0.78
632,미,mi,n.,noun,"America, USA",미 육군이 이라크에 주둔했다. — The US military was stationed in Iraq.,270,0.8
633,열리다,yeollida,v.,verb,open,창문이 조금 열려 있네요. — The window is slightly open.,270,0.88
634,언니,eonni,n.,noun,elder sister (of a female),언니는 미국에서 유학하고 있어요. — My older sister is studying in America.,269,0.5
635,잠,jam,n.,noun,sleep,잠은 충분히 자야지. — You need to sleep enough.,269,0.76
636,최근,choegeun,n.,noun,"recent, latest (time); closest (distance)",그 사건은 최근에 일어났어. — That incident happened recently.,269,0.68
637,향하다,hyanghada,v.,verb,"direct, be toward",그의 얼굴은 내 쪽으로 향했다. — His face was turned toward me.,268,0.94
638,이,i,num.,number,two,불고기 이 인분 주세요. — Give us two portions of Bulgogi.,268,0.37
639,계획,gyehoek,n.,noun,plan,우리는 여행 계획을 세우고 있어. — We are setting up a travel plan.,267,0.82
640,얼,eol,n.,noun,spirit,조상의 얼을 되살리자. — Let’s revive the spirit of our ancestors.,267,0.15
641,과거,gwageo,n.,noun,past,서연이는 과거에도 착한 학생이었는데. — Seoyeon was also a good student in the past.,267,0.86
642,잇다,itda,v.,verb,connect; continue; inherit,그 다리는 섬과 육지를 잇고 있었다. — The bridge connects an island and the land.,265,0.96
643,싫다,silda,a.,adjective,"hate, dislike",난 마늘은 먹기 싫은데. — I hate eating garlic.,264,0.65
644,풀다,pulda,v.,verb,"untie, relax, loosen",그는 자신을 묶은 줄을 풀었다. — He untied the string binding him.,264,0.83
645,식,sik,n.b.,noun (bound),ceremony,"식이 끝나고 모두가 피로연에 참석했어. — After the ceremony, everyone attended the reception.",264,0.7
646,각,gak,adn.,adnominal,each,각 부서마다 새로운 업무가 주어졌다. — Each department was assigned a new task.,264,0.89
647,버리다,beorida,v.,verb,"throw away, dump",안 쓰는 건 버리려구. — I will throw away the things I am not using.,262,0.83
648,번째,beonjjae,n.b.,noun (bound),COUNTER (order),몇 번째 인터뷰를 하셨어요? — How many times have you had an interview?,261,0.84
649,어쩌다,eojjeoda,v.,verb,"do what, do how",네가 어쩌는지를 시험해 본 거야. — I tried to test how you are doing.,261,0.75
650,반,ban,n.,noun,half,반은 지금 먹고 반은 남겨 두자. — Let’s eat half and save the other half.,260,0.83
651,아두/어두,adu/eodu,e.,"ending, connective, final","CONNECTIVE, even if (COLLOQUIAL)","내가 좀 서툴러두 이해해 줘. — Even though I’m being clumsy, please be understanding.",260,0.17
652,관심,gwansim,n.,noun,"interest, concern",저 남자한테 관심이 있니? — Do you have an interest in that guy?,259,0.93
653,달,dal,n.,noun,moon,달에는 토끼가 산대. — They say that a bunny lives on the moon.,259,0.75
654,돌리다,dollida,v.,verb,"turn, spin, attribute to",문의 손잡이를 돌렸는데 문이 안 열리는 거야. — I turned the door knob but the door didn’t open.,259,0.88
655,대상,daesang,n.,noun,"object, target",이 조사는 누구를 대상으로 하나요? — Who does this survey target?,259,0.86
656,아마,ama,adv.,adverb,probably,아마 내년 겨울은 따뜻할 거예요. — The next winter will probably be warm.,257,0.59
657,빨리,ppalli,adv.,adverb,"quickly, fast",시간은 정말 빨리 흘렀다. — Time flew by very fast.,257,0.7
658,쪼다,jjoda,v.,verb,peck,닭이 강아지를 쪼았어. — A hen pecked at the puppy.,257,0.08
659,사용하다,sayonghada,v.,verb,use,새로운 프로그램을 사용했다. — I used a new program.,257,0.89
660,당하다,danghada,v.,verb,"suffer, undergo",부상을 당한 사람들이 병원으로 실려 왔다. — The people who got injured were carried to the hospital.,256,0.92
661,붙이다,buchida,v.,verb,"stick, attach",나는 우표를 봉투에 붙였어. — I attached a stamp to the envelope.,255,0.86
662,머,meo,exc.,exclamative,"well, gee, and how","머 우리가 잘못했지. — Well, we made some mistakes.",255,0.07
663,요즘,yojeum,n.,noun,these days,요즘 어떻게 지내십니까? — How are you doing these days?,254,0.74
664,저희,jeohui,pron.,pronoun,we; our (HUMBLE),저희가 누군지 아십니까? — Do you know who we are?,254,0.35
665,꽃,kkot,n.,noun,flower,선물로 꽃은 어때요? — What about flowers as a gift?,254,0.86
666,주인,juin,n.,noun,owner,주인이 고객에게 메뉴를 보였다. — The owner showed the menu to a customer.,254,0.82
667,언어,eoneo,n.,noun,language,언어는 소통의 도구이다. — Language is a tool of communication.,254,0.75
668,입장,ipjang,n.,noun,"position, situation, stance","제 입장에서는 그렇게 말할 수밖에 없어요. — From my position, I had to say so.",254,0.9
669,힘들다,himdeulda,a.,adjective,"hard, tough, difficult","힘들 때는 상냥한 말 한 마디도 도움이 돼요. — In tough times, even a kind word helps.",253,0.79
670,활동,hwaldong,n.,noun,activity,"대학교 때는 동아리 활동도 많이 해야 해요. — At college, you need to do many club activities.",253,0.86
671,ㅂ시다/읍시다,psida/eupsida,e.,"ending, connective, final","FINAL, PROPOSE (POLITE)",이제 그만 잡시다. — Let’s sleep now.,253,0.78
672,사진,sajin,n.,noun,photo,사진 찍는 걸 별로 좋아하지 않아요. — I don’t like taking photos that much.,253,0.83
673,더라도,deorado,e.,"ending, connective, final","CONNECTIVE, even though","힘들더라도 조금만 참고 견뎌라. — Endure a little more, even though it is tough.",253,0.99
674,지키다,jikida,v.,verb,"guard, defend; keep","경찰이 지키고 있으니까 안전합니다. — Since the police are guarding us, it is safe.",253,0.96
675,놀라다,nollada,v.,verb,be surprised (at),그는 세상이 놀랄만한 일을 해냈지. — He has done such work that the world will be surprised.,252,0.83
676,바꾸다,bakkuda,v.,verb,"change, exchange",우리는 방을 바꾸기로 했어요. — We agreed to change rooms.,252,0.9
677,구조,gujo,n.,noun,structure,그 건물은 복잡한 구조를 가졌어. — The building has a complex structure.,251,0.84
678,부모,bumo,n.,noun,parents,부모는 자식을 위해 뭐든 하지. — Parents do their best for their children.,251,0.8
679,그리하다,geurihada,v.,verb,do so,"그리하면 문제가 해결될 게야. — If you do this, the problem will be solved.",250,0.4
680,끌다,kkeulda,v.,verb,"pull, drag, haul; attract",나를 어디로 끌고 가는 거니? — Where are you dragging me?,249,0.87
681,목소리,moksori,n.,noun,voice,오늘은 어머니의 목소리가 듣고 싶다. — I want to hear my mother’s voice today.,249,0.86
682,변화,byeonhwa,n.,noun,change,그들의 우정에는 변화가 없었다. — There was no change in their friendship.,248,0.89
683,든지/이든지,deunji/ideunji,p.conj.,particle (conjunction),"either … or, whether … or","야채든지 고기든지 잘 먹어야 한다. — Whether vegetables or meat, you need to eat well.",248,0.72
684,세,s.,n.b.,noun (bound),COUNTER (age),세 명이 한꺼번에 가게에 들어오는 거야. — Three people came into the store all together.,248,0.83
685,댕기다,daenggida,v.,verb,"catch fire, light",그는 말없이 성냥불을 댕겼다. — He lit the match without saying anything.,247,0.12
686,만큼,mankeum,n.b.,noun (bound),"amount, number; as much as",원하는 만큼 가져가세요. — Take as much as you want.,247,0.98
687,아까,akka,adv.,adverb,a while ago,아까 본 사람이야. — That is the person I’d seen before.,247,0.31
688,현재,hyeonjae,adv.,adverb,"present, current",현재 어디에서 근무하고 계십니까? — Where are you currently working?,245,0.76
689,이상하다,isanghada,a.,adjective,strange,이 사람 이상하네. — This person is strange.,244,0.72
690,사업,saeop,n.,noun,business,사업은 날로 번창해 갔어요. — The business was thriving day by day.,244,0.82
691,이래,irae,n.b.,noun (bound),since …,"학교 개교 이래 가장 뛰어난 성적이었다. — Since the school opened, it has received the most outstanding scores.",243,0.46
692,현실,hyeonsil,n.,noun,reality,현실을 직시하라. — Face up to reality.,242,0.92
693,이놈,inom,pron.,pronoun,"this guy, dude (SLANG)","이놈, 내가 바본 줄 아니? — Dude, do you think I’m an idiot?",242,0.3
694,붙다,butda,v.,verb,"attach, stick",파리가 벽에 붙어 있네. — There’s a fly stuck to the wall.,241,0.8
695,막다,makda,v.,verb,"block, keep from",경찰을 도로를 막고 통제했다. — The police are blocking and controlling the road.,241,0.85
696,그러하다,geureohada,a.,adjective,"like that, (be) so",네가 그러한 생각을 하는지 몰랐구나. — I didn’t know you thought like that.,241,0.89
697,법,beop,n.,noun,law,대학원에서 법을 공부해 보고 싶습니다. — I would like to study law at graduate school.,241,0.9
698,표정,pyojeong,n.,noun,"facial expression, look",아버지는 알 수 없는 표정을 지으셨어. — I couldn’t understand the look on my father’s face.,240,0.83
699,오히려,ohiryeo,adv.,adverb,on the contrary,"오히려 일이 잘못됐어. — On the contrary, things went wrong.",240,0.98
700,바라다,barada,v.,verb,"wish, hope",바라는 사항을 여기 적으세요. — Write down the things you wish for here.,240,0.86
701,삼다,samda,v.,verb,make; take; use,누구든지 적으로 삼지 말아야 해. — Don’t make anyone an enemy.,240,0.88
702,자,ja,n.,noun,"letter, character",저기 써 있는 자가 뭐지? — What character is written over there?,239,0.78
703,환경,hwangyeong,n.,noun,environment,자연 환경을 보호해야 해. — We should protect the natural environment.,239,0.8
704,우선,useon,adv.,adverb,"first (of all), above all","우선 네 할 일을 먼저 다해라. — First of all, finish the work you have to do.",239,0.94
705,신문,sinmun,n.,noun,newspaper,지훈이는 요즘 신문에 나온다. — Jihun is appearing in the newspapers these days.,239,0.94
706,귀,gwi,n.,noun,ear,난 비행기에서 귀가 좀 아프던데. — My ears hurt on the plane.,238,0.8
707,여러분,yeoreobun,pron.,pronoun,"PLURAL, you (HONORIFIC)",여러분은 어떻게 생각하십니까? — What do you think?,238,0.5
708,자꾸,jakku,adv.,adverb,"repeatedly, again and again",자꾸 그가 생각나. — I think of him again and again.,237,0.43
709,대,dae,e.,"ending, connective, final","FINAL, REPORT",내일은 날씨가 흐리대. — It says that it will be cloudy tomorrow.,237,0.26
710,자료,jaryo,n.,noun,"material, data, reference",자료를 찾기 위해 도서관에 갔어요. — I went to the library to find references.,237,0.81
711,아프다,apeuda,a.,adjective,"sick, ill",아이가 아파서 병원으로 실려 갔어. — The child was sick and taken to the hospital.,237,0.73
712,군,gun,e.,"ending, connective, final","FINAL, EXCLAMATION",음식이 모자라겠군. — The food will be insufficient.,237,0.68
713,나중,najung,n.,noun,later,제가 나중에 들르겠습니다. — I will stop by later.,236,0.59
714,이루다,iruda,v.,verb,accomplish,드디어 네가 꿈을 이뤘구나! — Finally you accomplished your dream!,236,0.95
715,모시다,mosida,v.,verb,"attend, serve, bring",모두가 부모님을 모시고 왔어. — Everyone brought their parents.,236,0.58
716,첫,cheot,adn.,adnominal,first,배우의 첫 대사는 아주 짧았거든. — The actor’s first line was really short.,236,0.88
717,잔,jan,n.,noun,"COUNTER (cup, glass)",한 잔의 물을 마실 때도 천천히 마셔야 해. — You should drink even a cup of water slowly.,235,0.64
718,개혁,gaehyeok,n.,noun,"reform, reformation",새로운 지도부는 정치 개혁을 시도했다. — The new leadership attempted political reforms.,235,0.76
719,음악,eumak,n.,noun,music,저는 대중 음악을 좋아하는데요. — I like popular music.,235,0.91
720,돌,dol,n.,noun,"stone, rock, pebble",그는 나에게 돌을 던졌다. — He threw a stone at me.,234,0.66
721,사장,sajang,n.,noun,"president, owner (shop, company)",사장님 어디 가셨어요? — Where is the owner?,233,0.89
722,들리다,deullida,v.,verb,be heard,내 목소리가 거기에서 들리니? — Can you hear me over there?,233,0.81
723,조금,jogeum,adv.,adverb,"little, bit, while",조금만 기다려 주세요. — Wait for me a minute.,233,0.8
724,모으다,moeuda,v.,verb,"collect, save up","돈을 모아서 여행을 하겠습니다. — After saving up money, I will go on a trip.",233,0.91
725,갑자기,gapjagi,adv.,adverb,"suddenly, abruptly",갑자기 웃음이 터져 나왔어. — Suddenly I burst out laughing.,233,0.85
726,당,dang,n.,noun,political party,당의 견해를 분명히 밝혀야지요. — The party’s perspective needs to be clarified.,233,0.86
727,장관,janggwan,n.,noun,minister,그의 아버지는 법무장관까지 한 인물이래. — His father is the one who served as the minister of justice.,232,0.72
728,그리,geuri,adv.,adverb,"so, very, that",네가 그리 잘 한 일은 아니야. — It is not the case that you did s. well.,232,0.59
729,빠지다,ppajida,v.,verb,fall into; be captivated,그 나이에는 유혹에 빠지기 쉽지. — It is easy to fall into temptation at that age.,231,0.93
730,괜찮다,gwaenchanda,a.,adjective,"good, all right, fine",천천히 가도 괜찮습니다. — It’s all right to go slowly.,231,0.5
731,소,s.,n.,noun,"cow, bull",소가 들판에서 돌아다녀요. — The cows are going around the field.,231,0.66
732,전혀,jeonhyeo,adv.,adverb,not at all,너는 전혀 놀라지 않는구나. — You are not surprised at all.,231,0.95
733,걔,gyae,pron.,pronoun,"that kid, she, he",걔는 왜 안 오니? — Why isn’t she coming?,231,0.14
734,전쟁,jeonjaeng,n.,noun,"war, battle","마침내 오랜 전쟁이 끝나고 평화가 왔다. — In the end, the long war ended and it became peaceful.",231,0.96
735,가족,gajok,n.,noun,family,가족이 모두 서울에 있어요. — My whole family is in Seoul.,230,0.97
736,맞추다,matchuda,v.,verb,"match, check, set; measure",알람을 맞추세요. — Set the alarm.,230,0.8
737,이십,isip,num.,number,twenty,회원이 이십 명 정도야. — There are about twenty members.,230,0.28
738,사실,sasil,adv.,adverb,in fact,"저도 사실 그 소문을 들었어요. — I heard that rumor, in fact.",230,0.73
739,강,gang,n.,noun,river,어느덧 여객선은 강을 건넜다. — The ferry crossed the river in a short time.,229,0.74
740,차,cha,n.b.,noun (bound),COUNTER (order); moment,제 2차 세계대전이 끝난 시기였어. — That was the time World War II ended.,229,0.86
741,잘하다,jalhada,v.,verb,"do … right, do … well",내가 잘한 건지 모르겠다. — I don’t know if I did well.,229,0.58
742,깊다,gipda,a.,adjective,deep,수심이 깊어요. — The water is deep.,229,0.98
743,중심,jungsim,n.,noun,"center, middle; balance",우리 회사는 시내 중심에 위치하고 있다. — Our company is located in the center of downtown.,228,0.88
744,바다,bada,n.,noun,sea,바다에서 잡은 물고기를 다시 놓아주었어. — I released the fish I had caught in the sea.,228,0.91
745,다구,dagu,e.,"ending, connective, final","FINAL, STATEMENT",우린 늦었다구. — We are late.,228,0.27
746,더라,deora,e.,"ending, connective, final","FINAL, RETROSPECT",너는 항상 불평만 하더라. — You are always complaining.,228,0.41
747,피,pi,n.,noun,blood,"피를 보자 형은 울음을 터뜨렸어. — At the sight of my blood, my older brother started to cry.",228,0.83
748,쌀,ssal,n.,noun,rice,그때는 쌀이 충분하지 않았지. — In those days rice was not enough.,227,0.67
749,빼다,ppaeda,v.,verb,"subtract, count out",거기에서 열을 빼세요. — Subtract ten from that.,225,0.66
750,듯이,deusi,e.,"ending, connective, final","CONNECTIVE, as if",그는 아이를 다루듯이 나를 대할 때가 있어. — He sometimes treats me like a child.,225,0.95
751,마지막,majimak,n.,noun,"last, final",이번이 마지막이에요. — This is the last time.,225,0.93
752,같이,gachi,p.sub.,subsidiary particle,like,그분은 제게 어머니같이 잘해 주세요. — She treats me well like my mother.,225,0.83
753,소설,soseol,n.,noun,novel,민서는 그 소설을 읽고 울었다니까. — Minseo read the novel and cried.,224,0.89
754,내려오다,naeryeooda,v.,verb,come down; lower,계단을 내려오다가 미끄러져 버렸어. — I slipped while coming down the stairs.,223,0.71
755,다리,dari,n.,noun,leg,어제 넘어져서 다리를 다쳤어요. — I fell yesterday and hurt my leg.,222,0.77
756,눈물,nunmul,n.,noun,tear,아이가 눈물만 흘리고 있어요. — The child is only shedding tears.,222,0.85
757,내일,naeil,n.,noun,tomorrow,내일 비가 올 거야. — Tomorrow it will rain.,221,0.66
758,제도,jedo,n.,noun,"institution, system",복지 제도가 잘 정비되어야지. — A welfare system must be well arranged.,221,0.85
759,그림,geurim,n.,noun,"picture, drawing",아주 마음에 드는 그림을 하나 구했거든. — I got a picture that I like a lot.,219,0.95
760,호,ho,n.b.,noun (bound),"COUNTER (room, house, train, etc.)",사무실이 이 건물 몇 호입니까? — What is the room number of your office in this building?,218,0.88
761,대표,daepyo,n.,noun,representatives,우리가 우리 대표를 뽑아야지. — We should select our representative ourselves.,217,0.64
762,영감,yeonggam,n.,noun,"old man, elderly man",그도 이제 영감이 다 되었구나. — He’s almost become an old man now.,217,0.44
763,일단,ildan,adv.,adverb,first,"일단 부산에 내려가 보기로 하죠. — First, let’s try to go down to Busan.",217,0.75
764,가능하다,ganeunghada,a.,adjective,possible,이런 일이 실제로 가능한가요? — Is this kind of thing actually possible?,217,0.92
765,따다,ttada,v.,verb,"pick, nip off; gain, win",가을에는 사과를 따요. — We pick apples in the fall.,217,0.65
766,담배,dambae,n.,noun,cigarette,어디에서 담배를 팔아요? — Where do they sell cigarettes?,217,0.8
767,죄,joe,n.,noun,sin; crime,그는 죄를 짓고 후회했다. — He committed a sin and regretted it.,215,0.72
768,만하다,manhada,aux.,auxiliary predicate,"worth, be worthy of",그들은 주목할 만한 성과를 거두었다. — They produced results that are worth noticing.,215,0.99
769,든,deun,e.,"ending, connective, final","either … or, whether … or",공부하든 놀러 가든 결정을 해라. — Decide whether you will study or play.,215,0.72
770,대부분,daebubun,n.,noun,"most, almost",대부분의 부모들이 그렇게 생각해요. — Most parents think so.,214,0.92
771,어른,eoreun,n.,noun,adult,아이는 빨리 어른이 되길 바랬어요. — The child wanted to become an adult soon.,214,0.76
772,벌써,beolsseo,adv.,adverb,already,벌써 해가 지는구나. — The sun is already setting.,214,0.79
773,전하다,jeonhada,v.,verb,"deliver, send",이걸 저기 있는 아저씨에게 전해 줄래? — Can you deliver this to the man over there?,214,0.96
774,지다,jida,v.,verb,"carry, take something on the shoulder",그는 배낭을 지고 있었다. — He was carrying a backpack.,213,0.72
775,다섯,daseot,num.,number,five,친구 다섯 명이 바닷가에 갔다. — Five friends went to the beach.,212,0.68
776,손님,sonnim,n.,noun,"guest, customer",가게에 손님이 없어요. — There is no customer at the store.,210,0.73
777,집안,jiban,n.,noun,"family, home, household",온 집안이 평화로웠어. — The whole family was peaceful.,210,0.85
778,발전,baljeon,n.,noun,development,경제 발전이 이룩되었다. — Economic development has been achieved.,210,0.84
779,아무리,amuri,adv.,adverb,"how ever, no matter how",아무리 설명해도 소용이 없다니까. — It is useless no matter how you explain it.,209,0.9
780,우리나라,urinara,n.,noun,our country,우리나라는 지난 올림픽에서 몇 위를 했었지? — Where did our country rank in the last Olympics?,209,0.85
781,기분,gibun,n.,noun,"mood, feeling",날씨가 좋아서 기분이 너무 좋다. — I feel great since the weather is good.,209,0.85
782,의식,uisik,n.,noun,consciousness,환자는 아직 의식이 돌아오지 않고 있어요. — The patient has not recovered consciousness.,209,0.92
783,거든,geodeun,e.,"ending, connective, final","CONNECTIVE, BACKGROUND","내가 늦거든 먼저 식사하세요. — If I’m late, please eat without me.",208,0.28
784,저기,jeogi,pron.,pronoun,"there, that place",저기 걸어가는 사람이 민준이니? — Is the person walking over there Minjun?,208,0.29
785,뿐,ppun,p.sub.,subsidiary particle,"only, just",그는 수학뿐 아니라 음악에도 천재였어. — He was a genius not only in mathematics but also in music.,208,1.0
786,느낌,neukkim,n.,noun,"feeling, sense","느낌이 좀 이상해서 뒤돌아 보았어. — I had a strange feeling, s. I looked back.",208,0.94
787,회장,hoejang,n.,noun,"president, chair",회장님께서 연설하실 차례예요. — It is now the president’s turn to speak.,208,0.79
788,팔,pal,n.,noun,arm,야구 선수가 팔을 다쳤다. — A baseball player hurt his arm.,208,0.7
789,순간,sungan,n.,noun,"moment, instant",지금 이 순간을 맘껏 즐기고 싶다. — I want to enjoy this moment as much as I can.,208,0.93
790,전체,jeonche,n.,noun,"whole, entirety",그는 건물 전체를 개조했어. — He renovated the whole building.,208,0.91
791,맡다,matda,v.,verb,"take care of, look at",잠깐만 이 가방 좀 맡아주세요. — Please take care of this bag for a minute.,208,0.91
792,모이다,moida,v.,verb,"get together, assemble, flock",모든 친척이 다 모였어. — All my relatives got together.,207,0.9
793,계시다,gyesida,v.,verb,"exist, be (HONORIFIC)",아버지가 어디 계십니까? — Where is my father?,207,0.53
794,어서,eoseo,adv.,adverb,"quickly, promptly",늦었으니까 어서 출발하세요. — Leave quickly since you’re late.,207,0.51
795,선,seon,n.,noun,line,도로에 그린 선을 따라서 걸었어. — I walked along the line drawn on the road.,206,0.86
796,일부,ilbu,n.,noun,"some, part",일부는 내 의견에 반대를 했죠. — Some were opposed to my opinion.,206,0.83
797,든/이든,deun/ideun,p.conj.,particle (conjunction),or,자네든 나든 누구라도 행사에 참석해야지. — Either you or I need to attend the event.,206,0.9
798,가만히,gamanhi,adv.,adverb,"still, motionlessly",그는 숨을 죽이고 가만히 서 있었다. — He stood still while holding his breath.,206,0.5
799,를/을/ㄹ,reul/eul/l,p.sub.,subsidiary particle,FOCUS,기분이 좋지를 않아. — I don’t feel great.,206,0.65
800,인물,inmul,n.,noun,"person, character, figure",그는 재능이 뛰어난 인물이다. — He is a person with outstanding talents.,206,0.96
801,참,cham,exc.,exclamative,oh,"참, 제가 어디까지 말씀을 드렸습니까? — Oh, how much did I tell you?",206,0.31
802,사,s.,num.,number,four,우리는 냉면 사 인분을 주문했다. — We ordered four portions of cold noodles.,205,0.28
803,네,ne,adn.,adnominal,four,우리 네 식구 살기에 딱 좋은 집이야. — This is a perfect house for our four members to live.,205,0.71
804,흐르다,heureuda,v.,verb,"flow, run",흐르는 강물을 멈출 수가 없지. — The flowing water cannot be stopped.,205,0.94
805,거리,geori,n.,noun,street,거리에 사람들이 거의 없어. — There are few people on the street.,204,0.88
806,내,nae,n.b.,noun (bound),within,한 시간 내로 연락드릴게요. — I will contact you within an hour.,203,0.9
807,배,bae,n.,noun,"stomach, belly, abdomen",갑자기 배가 아파요. — Suddenly my stomach hurts.,203,0.68
808,눕다,nupda,v.,verb,lie,방에 하루 종일 누워만 있구나. — You seem to lie down all day.,203,0.74
809,동생,dongsaeng,n.,noun,younger brother or younger sister,누나가 동생들을 돌봤지. — An older sister took care of her younger siblings.,202,0.7
810,에다가,edaga,p.sub.,subsidiary particle,"LOCATION, onto",책상 위에다가 화분을 가져다 놓았다. — I put a flowerpot on the desk.,202,0.24
811,성,seong,n.,noun,"sex, gender",수업 시간에 성에 대해 배운 적도 있지. — I’ve learned about sex in class.,202,0.84
812,선거,seongeo,n.,noun,election,다음 선거는 언제더라? — When is the next election?,201,0.74
813,작업,jageop,n.,noun,"work, job, operation",잠시 작업이 중단되었어. — The work has been stopped briefly.,201,0.91
814,만,man,n.b.,noun (bound),interval time,오랜만에 외식을 하는구나. — It’s been a while since we ate out.,201,0.86
815,단계,dangye,n.,noun,"step, stage",다음 단계는 뭡니까? — What is the next step?,200,0.84
